"","id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier"
"1","0501","Buffalo","Bills","BUF","DST",NA,49,"DST","average",8.85733333333333,2,1.3314,1.26698802940938,7.5525,10.5455,2
"2","0501","Buffalo","Bills","BUF","DST",NA,49,"DST","robust",8.695,2,1.1025,0.659757,7.5525,10.5455,2
"3","0501","Buffalo","Bills","BUF","DST",NA,49,"DST","weighted",8.902352,2,1.31048435746704,1.39543048998277,7.4,10.5359331395349,2
"4","0502","Indianapolis","Colts","IND","DST",NA,49,"DST","average",6.6642,13,0.1042,0.921898692915876,5.268,7.216,10
"5","0502","Indianapolis","Colts","IND","DST",NA,49,"DST","robust",6.753,10,0.0305,0.542631600000001,5.268,7.216,10
"6","0502","Indianapolis","Colts","IND","DST",NA,49,"DST","weighted",6.6695293494705,12,0.0682097164469413,1.05872170459698,4.96,7.21510248447205,10
"7","0503","Miami","Dolphins","MIA","DST",NA,49,"DST","average",5.9448,20,0.1783,0.869748929289367,4.6,6.5352,15
"8","0503","Miami","Dolphins","MIA","DST",NA,49,"DST","robust",5.93,20,0.0425000000000004,0.222389999999999,4.6,6.5352,15
"9","0503","Miami","Dolphins","MIA","DST",NA,49,"DST","weighted",5.93050571860817,20,0.147245403068943,1.00574899775479,4.3,6.54025465116279,15
"10","0504","New England","Patriots","NEP","DST",NA,49,"DST","average",9.43866666666667,1,1.1569,2.82068088706728,7.1075,13.388,1
"11","0504","New England","Patriots","NEP","DST",NA,49,"DST","robust",9.01,1,0.824999999999999,0.778365000000002,7.1075,13.388,1
"12","0504","New England","Patriots","NEP","DST",NA,49,"DST","weighted",9.62145314285714,1,1.24155407175276,3.00966494582793,6.94,13.3379204892966,1
"13","0505","New York","Jets","NYJ","DST",NA,49,"DST","average",5.2468,27,NA,0.725645367931196,4.444,6.016,19
"14","0505","New York","Jets","NYJ","DST",NA,49,"DST","robust",5.04,28,NA,0.880664399999999,4.444,6.016,19
"15","0505","New York","Jets","NYJ","DST",NA,49,"DST","weighted",5.38839140695915,25,0.129506486276205,0.744811463473204,4.43,6.01360244648318,19
"16","0506","Cincinnati","Bengals","CIN","DST",NA,49,"DST","average",5.753,22,0.171166666666666,0.873052117573745,4.54,6.556,16
"17","0506","Cincinnati","Bengals","CIN","DST",NA,49,"DST","robust",5.925,21,0.123,0.415128,4.54,6.556,16
"18","0506","Cincinnati","Bengals","CIN","DST",NA,49,"DST","weighted",5.79149491679274,21,0.0240529167927379,1.00929824166673,4.3,6.56204360465116,16
"19","0508","Tennessee","Titans","TEN","DST",NA,49,"DST","average",6.13233333333333,18,0.1131,0.242488487699244,5.66,6.1925,14
"20","0508","Tennessee","Titans","TEN","DST",NA,49,"DST","robust",6.055,19,0.1275,0.0637517999999996,5.66,6.1925,14
"21","0508","Tennessee","Titans","TEN","DST",NA,49,"DST","weighted",6.08356914285714,19,0.22256882515669,0.263390271391232,5.6,6.16734042553191,14
"22","0509","Jacksonville","Jaguars","JAC","DST",NA,49,"DST","average",7.34566666666667,4,0.211966666666667,1.0863691821844,5.74,8.3955,4
"23","0509","Jacksonville","Jaguars","JAC","DST",NA,49,"DST","robust",7.51,4,0.446999999999999,0.459606,5.74,8.3955,4
"24","0509","Jacksonville","Jaguars","JAC","DST",NA,49,"DST","weighted",7.32628914285714,4,0.265428449535335,1.18035179340715,5.36,8.39029360465116,4
"25","0511","Denver","Broncos","DEN","DST",NA,49,"DST","average",5.26266666666667,26,0.0634666666666659,0.84957440325534,3.915,5.86,19
"26","0511","Denver","Broncos","DEN","DST",NA,49,"DST","robust",5.383,26,0.2585,0.340998,3.915,5.86,19
"27","0511","Denver","Broncos","DEN","DST",NA,49,"DST","weighted",5.26927371428571,26,0.0492476477199046,0.920649398447934,3.52,5.8536170212766,19
"28","0512","Kansas City","Chiefs","KCC","DST",NA,49,"DST","average",6.8024,9,0.0624333333333338,0.691187962858151,5.844,7.3856,9
"29","0512","Kansas City","Chiefs","KCC","DST",NA,49,"DST","robust",6.745,11,0.0899999999999999,0.889560000000002,5.844,7.3856,9
"30","0512","Kansas City","Chiefs","KCC","DST",NA,49,"DST","weighted",6.81673639939486,9,0.098796685109142,0.797644872404949,5.75,7.38742093023256,9
"31","0513","Oakland","Raiders","OAK","DST",NA,49,"DST","average",5.1516,28,NA,0.642875415613321,4.476,5.8456,20
"32","0513","Oakland","Raiders","OAK","DST",NA,49,"DST","robust",5.209,27,NA,0.100816799999999,4.476,5.8456,20
"33","0513","Oakland","Raiders","OAK","DST",NA,49,"DST","weighted",5.19155600605144,28,NA,0.730213982980799,4.4,5.84448571428571,20
"34","0514","Los Angeles","Chargers","LAC","DST",NA,49,"DST","average",6.87333333333333,8,0.0998333333333337,0.542316021030789,6.15,7.41,8
"35","0514","Los Angeles","Chargers","LAC","DST",NA,49,"DST","robust",6.87,9,0.121,0.563388,6.15,7.41,8
"36","0514","Los Angeles","Chargers","LAC","DST",NA,49,"DST","weighted",6.89096,8,0.117807228874001,0.589690685509712,6.1,7.40652173913043,8
"37","0515","Seattle","Seahawks","SEA","DST",NA,49,"DST","average",6.69566666666667,12,0.0732333333333335,1.28633665888833,5.0275,8.188,10
"38","0515","Seattle","Seahawks","SEA","DST",NA,49,"DST","robust",6.52,14,0.083499999999999,0.422541,5.0275,8.188,10
"39","0515","Seattle","Seahawks","SEA","DST",NA,49,"DST","weighted",6.72956914285714,10,0.0416493252647498,1.40999476489699,4.6,8.18039534883721,10
"40","0516","Dallas","Cowboys","DAL","DST",NA,49,"DST","average",5.47233333333333,24,0.1577,0.954720203340574,4.005,6.176,17
"41","0516","Dallas","Cowboys","DAL","DST",NA,49,"DST","robust",5.53,24,0.104,0.4329192,4.005,6.176,17
"42","0516","Dallas","Cowboys","DAL","DST",NA,49,"DST","weighted",5.47522342857143,24,0.146390867948995,1.03595505370319,3.54,6.17191489361702,17
"43","0517","New York","Giants","NYG","DST",NA,49,"DST","average",7.1164,6,0.232066666666666,0.391329528658393,6.512,7.41,5
"44","0517","New York","Giants","NYG","DST",NA,49,"DST","robust",7.07,5,0.0170000000000003,0.0711648000000001,6.512,7.41,5
"45","0517","New York","Giants","NYG","DST",NA,49,"DST","weighted",6.98413052950076,6,0.0792582437864704,0.302985709133261,6.4,7.04014658385093,5
"46","0518","Philadelphia","Eagles","PHI","DST",NA,49,"DST","average",6.09366666666667,19,0.231266666666667,0.556058150436325,5.4,6.7375,13
"47","0518","Philadelphia","Eagles","PHI","DST",NA,49,"DST","robust",6.175,18,0.1825,0.407715,5.4,6.7375,13
"48","0518","Philadelphia","Eagles","PHI","DST",NA,49,"DST","weighted",6.12706742857143,18,0.120029997838773,0.592954796874995,5.3,6.72712765957447,13
"49","0519","Arizona","Cardinals","ARI","DST",NA,49,"DST","average",6.7446,10,0.0290999999999997,1.17727430958125,5.05,7.6544,7
"50","0519","Arizona","Cardinals","ARI","DST",NA,49,"DST","robust",6.895,8,0.0834999999999999,0.800604000000001,5.05,7.6544,7
"51","0519","Arizona","Cardinals","ARI","DST",NA,49,"DST","weighted",6.55697298033283,14,0.161775425113463,1.26550905679292,4.72,7.55313430232558,7
"52","0520","Washington","Redskins","WAS","DST",NA,49,"DST","average",6.2342,17,0.1212,1.20234903418267,4.804,7.5928,12
"53","0520","Washington","Redskins","WAS","DST",NA,49,"DST","robust",6.22,17,0.105,0.711647999999999,4.804,7.5928,12
"54","0520","Washington","Redskins","WAS","DST",NA,49,"DST","weighted",6.25904711043873,16,0.0781211104387296,1.39971845201398,4.6,7.6046988372093,12
"55","0521","Chicago","Bears","CHI","DST",NA,49,"DST","average",6.58066666666667,14,0.153333333333333,0.535813400355012,6,7.1375,10
"56","0521","Chicago","Bears","CHI","DST",NA,49,"DST","robust",6.61,13,0.105,0.440332200000001,6,7.1375,10
"57","0521","Chicago","Bears","CHI","DST",NA,49,"DST","weighted",6.64566628571429,13,0.101505795547872,0.547906825507146,6,7.13451070336391,10
"58","0522","Detroit","Lions","DET","DST",NA,49,"DST","average",6.53933333333333,15,0.264566666666667,0.617641211923773,5.7025,7.212,11
"59","0522","Detroit","Lions","DET","DST",NA,49,"DST","robust",6.383,16,0.1855,0.415128,5.7025,7.212,11
"60","0522","Detroit","Lions","DET","DST",NA,49,"DST","weighted",6.531348,15,0.28443215906635,0.679679397819596,5.6,7.20826744186046,11
"61","0523","Green Bay","Packers","GBP","DST",NA,49,"DST","average",6.89533333333333,7,0.0574666666666666,1.01202404451014,5.5925,8.094,6
"62","0523","Green Bay","Packers","GBP","DST",NA,49,"DST","robust",7.056,6,0.0834999999999999,0.719061,5.5925,8.094,6
"63","0523","Green Bay","Packers","GBP","DST",NA,49,"DST","weighted",6.91878457142857,7,0.0649363717311431,1.1102229885874,5.42,8.08810465116279,6
"64","0524","Minnesota","Vikings","MIN","DST",NA,49,"DST","average",6.31533333333333,16,0.132066666666667,0.7651705692197,5.1225,6.9265,12
"65","0524","Minnesota","Vikings","MIN","DST",NA,49,"DST","robust",6.49,15,0.1885,0.719061,5.1225,6.9265,12
"66","0524","Minnesota","Vikings","MIN","DST",NA,49,"DST","weighted",6.23478457142857,17,0.129466285714286,0.787047944666902,4.92,6.90229069767442,12
"67","0526","Atlanta","Falcons","ATL","DST",NA,49,"DST","average",5.3666,25,0.111866666666667,0.981097752520104,3.884,5.9,18
"68","0526","Atlanta","Falcons","ATL","DST",NA,49,"DST","robust",5.469,25,0.173,0.447745200000001,3.884,5.9,18
"69","0526","Atlanta","Falcons","ATL","DST",NA,49,"DST","weighted",5.24849612708018,27,NA,1.08883838230787,3.52,5.88932462006079,18
"70","0528","Los Angeles","Rams","LAR","DST",NA,49,"DST","average",6.73533333333333,11,0.0553999999999997,0.323432630800707,6.225,6.9425,10
"71","0528","Los Angeles","Rams","LAR","DST",NA,49,"DST","robust",6.7,12,0.135000000000001,0.37065,6.225,6.9425,10
"72","0528","Los Angeles","Rams","LAR","DST",NA,49,"DST","weighted",6.70631028571429,11,0.0487124681218942,0.337450396917205,6.2,6.93946808510638,10
"73","0529","New Orleans","Saints","NOS","DST",NA,49,"DST","average",7.151,5,0.145133333333333,0.912415475537323,6.06,8.182,5
"74","0529","New Orleans","Saints","NOS","DST",NA,49,"DST","robust",7.05,7,0.1675,0.911799,6.06,8.182,5
"75","0529","New Orleans","Saints","NOS","DST",NA,49,"DST","weighted",7.13759085714286,5,0.186133306678194,1.02755240824477,6,8.18036046511628,5
"76","0530","San Francisco","49ers","SFO","DST",NA,49,"DST","average",7.7062,3,0.457866666666667,1.26342914324469,6.336,9.0048,3
"77","0530","San Francisco","49ers","SFO","DST",NA,49,"DST","robust",7.675,3,0.385,1.11195,6.336,9.0048,3
"78","0530","San Francisco","49ers","SFO","DST",NA,49,"DST","weighted",7.85744614220877,3,0.625506142208775,1.41832919582463,6.25,9.00798662790698,3
"79","0531","Baltimore","Ravens","BAL","DST",NA,49,"DST","average",5.78,21,0.057833333333333,0.90784176301086,4.41,6.5425,16
"80","0531","Baltimore","Ravens","BAL","DST",NA,49,"DST","robust",5.85,22,0.207999999999999,0.385476,4.41,6.5425,16
"81","0531","Baltimore","Ravens","BAL","DST",NA,49,"DST","weighted",5.77502571428571,22,0.157484857142857,0.982652460628443,3.98,6.53563829787234,16
"82","0532","Houston","Texans","HOU","DST",NA,49,"DST","average",5.69133333333333,23,0.271866666666667,0.633011848230347,5.1,6.497,16
"83","0532","Houston","Texans","HOU","DST",NA,49,"DST","robust",5.754,23,0.2545,0.252042000000001,5.1,6.497,16
"84","0532","Houston","Texans","HOU","DST",NA,49,"DST","weighted",5.75985828571429,23,0.328050867948995,0.65732248490007,5.1,6.48659574468085,16
"85","4925","Drew","Brees","NOS","QB",40,18,"QB","average",0,75,NA,NA,0,0,10
"86","4925","Drew","Brees","NOS","QB",40,18,"QB","robust",0,75,NA,0,0,0,10
"87","4925","Drew","Brees","NOS","QB",40,18,"QB","weighted",0,61,0,NA,0,0,10
"88","5848","Tom","Brady","NEP","QB",42,19,"QB","average",21.9265978532397,15,0.72538311593414,1.96524144301687,18.4945,23.631,4
"89","5848","Tom","Brady","NEP","QB",42,19,"QB","robust",21.5457957064793,15,0.412795706479315,2.11328530885245,18.4945,23.631,4
