"","X.6","X.5","X.4","X.3","X.2","X.1","X","pick","dp","first_name","last_name","position"
"1",1,1,1,1,1,1,1,1,1,"Saquon","Barkley","RB"
"2",2,2,2,2,2,2,2,24,1,"Keenan","Allen","WR"
"3",3,3,3,3,3,3,3,25,1,"Kerryon","Johnson","RB"
"4",4,4,4,4,4,4,4,48,1,"Cooper","Kupp","WR"
"5",5,5,5,5,5,5,5,49,1,"Sony","Michel","RB"
"6",6,6,6,6,6,6,6,72,1,"Allen","Robinson","WR"
"7",7,7,7,7,7,7,7,73,1,"Jarvis","Landry","WR"
"8",8,8,8,8,8,8,8,96,1,"Royce","Freeman","RB"
"9",9,9,9,9,9,9,9,97,1,"T.J.","Hockenson","TE"
"10",10,10,10,10,10,10,10,120,1,"LeSean","McCoy","RB"
"11",11,11,11,11,11,11,11,121,1,"Drew","Brees","QB"
"12",12,12,12,12,12,12,12,144,1,"","","K"
"13",13,13,13,13,13,13,13,145,1,"Greg","Olsen","TE"
"14",14,14,14,14,14,14,14,168,1,"Teddy","Bridgewater","QB"
"15",15,15,15,15,15,15,15,169,1,"New England","Patriots","DST"
"16",16,16,16,16,16,16,16,10,10,"Le'Veon","Bell","RB"
"17",17,17,17,17,17,17,17,15,10,"JuJu","Smith-Schuster","WR"
"18",18,18,18,18,18,18,18,34,10,"Robert","Woods","WR"
"19",19,19,19,19,19,19,19,39,10,"Jason","Witten","TE"
"20",20,20,20,20,20,20,20,58,10,"Matt","Ryan","QB"
"21",21,21,21,21,21,21,21,63,10,"Vernon","Davis","RB"
"22",22,22,22,22,22,22,22,82,10,"Austin","Ekeler","RB"
"23",23,23,23,23,23,23,23,87,10,"Corey","Davis","WR"
"24",24,24,24,24,24,24,24,106,10,"Rashaad","Penny","RB"
"25",25,25,25,25,25,25,25,111,10,"Courtland","Sutton","WR"
"26",26,26,26,26,26,26,26,130,10,"Phillip","Dorsett","WR"
"27",27,27,27,27,27,27,27,135,10,"Ronald","Jones","RB"
"28",28,28,28,28,28,28,28,154,10,"Jimmy","Garoppolo","QB"
